question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11934,102,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,CT,ct,True,True,CT,ct,True,True,MRI,mri,False,False
11937,102,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lungs,lungs,False,True,Lungs,lungs,False,True,Skin,skin,False,False
11939,102,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No.,no,False,False
11943,102,Where is/are the abnormality located?,"Left Lung, Right",left lung right,open,text_match,Position,unknown,unknown,unknown,unknown,Left lung,left lung,False,True,No,no,False,False,Left lung,left lung,False,True,Lungs,lungs,False,False,Head,head,False,False
11944,102,"Which is the biggest in this image,lung,liver or heart?",Lung,lung,closed,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Liver,liver,False,False,Lung,lung,True,True,Lung,lung,True,True,Lung,lung,True,True
11945,103,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,CT,ct,True,True,CT,ct,True,True,MRI,mri,False,False
11947,103,What is the main organ in the image?,Lung,lung,open,text_match,Organ,unknown,unknown,unknown,unknown,Lung,lung,True,True,No,no,False,False,Heart,heart,False,False,Heart,heart,False,False,No,no,False,False
11948,103,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Liver,liver,False,False,Lung,lung,True,True,Skin,skin,False,False
11950,103,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No,no,False,False
11954,103,"Which is the biggest in this image,lung,liver or heart?",Lung,lung,closed,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Liver,liver,False,False,Heart,heart,False,False,Lung,lung,True,True,Lung,lung,True,True
11955,105,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,CT,ct,True,True,CT,ct,True,True,MRI,mri,False,False
11957,105,What is the main organ in the image?,Lung,lung,open,text_match,Organ,unknown,unknown,unknown,unknown,Lung,lung,True,True,No,no,False,False,Lung,lung,True,True,Lungs,lungs,False,True,No,no,False,False
11958,105,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Skin,skin,False,False,Lungs,lungs,False,True,Lungs,lungs,False,True,Skin,skin,False,False
11960,105,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No.,no,False,False
11965,124,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,X-ray,xray,True,True,MRI,mri,False,False
11966,124,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Chest,chest,True,True,Skin,skin,False,False
11967,124,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lungs,lungs,False,True,Lungs,lungs,False,True,Skin,skin,False,False
11970,124,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,Yes.,yes,True,True
11974,13,What is the mr weighting in this image?,T2,t2,open,text_match,Modality,unknown,unknown,unknown,unknown,T2-weighted,t2weighted,False,True,T1,t1,False,False,T2-weighted,t2weighted,False,True,T2-weighted,t2weighted,False,True,T1,t1,False,False
11977,13,Does the picture contain liver?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No.,no,False,False
11980,130,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,X-ray,xray,True,True,MRI,mri,False,False
11981,130,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Chest,chest,True,True,Brain,brain,False,False
11982,130,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,Yes.,yes,True,True
11983,130,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lungs,lungs,False,True,Lung,lung,True,True,Skin,skin,False,False
11987,135,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,CT,ct,False,False,MRI,mri,False,False
11988,135,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Chest,chest,True,True,Skin,skin,False,False
11994,142,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,X-ray,xray,True,True,MRI,mri,False,False
11995,142,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Chest,chest,True,True,Skin,skin,False,False
11996,142,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No,no,False,False
11997,142,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lungs,lungs,False,True,Lungs,lungs,False,True,Skin,skin,False,False
12001,147,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,X-ray,xray,True,True,MRI,mri,False,False
12002,147,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Thorax,thorax,False,False,Head,head,False,False
12003,147,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True
12004,147,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lung,lung,True,True,Lungs,lungs,False,True,Skin,skin,False,False
12006,147,Where is/are the abnormality located?,Right Lung,right lung,open,text_match,Position,unknown,unknown,unknown,unknown,Right lung,right lung,True,True,Left lung,left lung,False,False,Right lung,right lung,True,True,Right shoulder,right shoulder,False,False,Left lung,left lung,False,False
12008,147,"Which organ is abnormal, heart or lung?",Lung,lung,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Lung,lung,True,True,Heart,heart,False,False,Lung,lung,True,True,Lung,lung,True,True,Lung,lung,True,True
12009,148,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,X-ray,xray,True,True,MRI,mri,False,False
12010,148,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Chest,chest,True,True,Head,head,False,False
12012,148,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lungs,lungs,False,True,Lungs,lungs,False,True,Skin,skin,False,False
12016,152,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,CT,ct,False,False,MRI,mri,False,False
12017,152,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Chest,chest,True,True,Head,head,False,False
12018,152,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True
12023,159,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,X-ray,xray,True,True,MRI,mri,False,False
