question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11934,102,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,CT,ct,True,True,CT,ct,True,True,MRI,mri,False,False
11935,102,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Thorax,thorax,False,False,Head,head,False,False,Thorax,thorax,False,False,Thorax,thorax,False,False,Skin,skin,False,False
11936,102,What is the main organ in the image?,"Lung, Spinal Cord",lung spinal cord,open,text_match,Organ,unknown,unknown,unknown,unknown,Lungs,lungs,False,False,No,no,False,False,Lungs,lungs,False,False,Lungs,lungs,False,False,No,no,False,False
11937,102,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lungs,lungs,False,True,Lungs,lungs,False,True,Skin,skin,False,False
11938,102,Does the picture contain liver?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No,no,True,True,No,no,True,True,No,no,True,True,No,no,True,True,No,no,True,True
11939,102,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No.,no,False,False
11940,102,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No,no,True,True,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
11941,102,What diseases are included in the picture?,Lung Cancer,lung cancer,open,text_match,Abnormality,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,No,no,False,False,No,no,False,False,No,no,False,False
11942,102,Is the lung healthy?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True
11943,102,Where is/are the abnormality located?,"Left Lung, Right",left lung right,open,text_match,Position,unknown,unknown,unknown,unknown,Left lung,left lung,False,True,No,no,False,False,Left lung,left lung,False,True,Lungs,lungs,False,False,Head,head,False,False
11944,102,"Which is the biggest in this image,lung,liver or heart?",Lung,lung,closed,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Liver,liver,False,False,Lung,lung,True,True,Lung,lung,True,True,Lung,lung,True,True
11945,103,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,CT,ct,True,True,CT,ct,True,True,MRI,mri,False,False
11946,103,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Thorax,thorax,False,False,Head,head,False,False,Thorax,thorax,False,False,Torso,torso,False,False,Head,head,False,False
11947,103,What is the main organ in the image?,Lung,lung,open,text_match,Organ,unknown,unknown,unknown,unknown,Lung,lung,True,True,No,no,False,False,Heart,heart,False,False,Heart,heart,False,False,No,no,False,False
11948,103,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Liver,liver,False,False,Lung,lung,True,True,Skin,skin,False,False
11949,103,Does the picture contain liver?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
11950,103,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No,no,False,False
11951,103,What diseases are included in the picture?,Lung Cancer,lung cancer,open,text_match,Abnormality,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,No,no,False,False,No,no,False,False,No,no,False,False
11952,103,Is the lung healthy?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True
11953,103,Where is/are the abnormality located?,"Left Lung, Right",left lung right,open,text_match,Position,unknown,unknown,unknown,unknown,Thorax,thorax,False,False,No,no,False,False,Thorax,thorax,False,False,Thorax,thorax,False,False,Head,head,False,False
11954,103,"Which is the biggest in this image,lung,liver or heart?",Lung,lung,closed,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Liver,liver,False,False,Heart,heart,False,False,Lung,lung,True,True,Lung,lung,True,True
11955,105,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,CT,ct,True,True,CT,ct,True,True,MRI,mri,False,False
11956,105,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Thorax,thorax,False,False,Head,head,False,False,Thorax,thorax,False,False,Thorax,thorax,False,False,Head,head,False,False
