question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11947,103,What is the main organ in the image?,Lung,lung,open,text_match,Organ,unknown,unknown,unknown,unknown,Lung,lung,True,True,No,no,False,False,Heart,heart,False,False,Heart,heart,False,False,No,no,False,False
11948,103,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Liver,liver,False,False,Lung,lung,True,True,Skin,skin,False,False
11954,103,"Which is the biggest in this image,lung,liver or heart?",Lung,lung,closed,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Liver,liver,False,False,Heart,heart,False,False,Lung,lung,True,True,Lung,lung,True,True
11993,135,"Which organ is abnormal, heart or lung?",Heart,heart,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Heart,heart,True,True,Heart,heart,True,True,Lung,lung,False,False,Lung,lung,False,False,Lung,lung,False,False
12063,18,Does the liver look normal ?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No.,no,False,False,No.,no,False,False,Yes.,yes,True,True,No.,no,False,False
12065,18,Do the spleen look abnormal?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No,no,True,True,No,no,True,True,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False
12088,208,What is the organ on the left side of this image?,Liver,liver,open,text_match,Organ,unknown,unknown,unknown,unknown,Liver,liver,True,True,Kidney,kidney,False,False,Kidney,kidney,False,False,Kidney,kidney,False,False,Kidney,kidney,False,False
12120,234,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,MRI,mri,False,False,CT,ct,True,True,MRI,mri,False,False
12138,235,What modality is used to take this image?,CT,ct,open,text_match,Modality,unknown,unknown,unknown,unknown,CT,ct,True,True,MRI,mri,False,False,MRI,mri,False,False,CT,ct,True,True,MRI,mri,False,False
12142,235,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No,no,True,True,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
