group,name,num_samples,accuracy
overall,overall,1061,0.42412818096135724
answer_type,closed,416,0.7019230769230769
answer_type,open,645,0.24496124031007752
q_type,Abnormality,150,0.46
q_type,Color,34,0.17647058823529413
q_type,KG,148,0.25675675675675674
q_type,Modality,108,0.7037037037037037
q_type,Organ,253,0.525691699604743
q_type,Plane,58,0.46551724137931033
q_type,Position,186,0.3333333333333333
q_type,Quantity,52,0.019230769230769232
q_type,Shape,7,0.2857142857142857
q_type,Size,65,0.5538461538461539
