question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11975,13,Is there any abnormality in the spleen?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No.,no,True,True,Yes.,yes,False,False,No,no,True,True
11979,13,Does the picture contain spleen?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No.,no,False,False,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No.,no,False,False
12004,147,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lung,lung,True,True,Lungs,lungs,False,True,Skin,skin,False,False
12074,185,"Which organ is abnormal, heart or lung?",Lung,lung,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Heart,heart,False,False,Heart,heart,False,False,Lung,lung,True,True,Lung,lung,True,True,Lung,lung,True,True
12080,208,Does the picture contain spleen?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12112,224,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,Yes.,yes,True,True,No,no,False,False,No,no,False,False
12113,224,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12181,250,Where is/are the abnormality located?,Liver,liver,open,text_match,Position,unknown,unknown,unknown,unknown,Thorax,thorax,False,False,No,no,False,False,Liver,liver,True,True,Thorax,thorax,False,False,Head,head,False,False
12200,252,Where is/are the abnormality located?,Liver,liver,open,text_match,Position,unknown,unknown,unknown,unknown,Abdomen,abdomen,False,False,No,no,False,False,Liver,liver,True,True,Abdomen,abdomen,False,False,Abdomen,abdomen,False,False
12255,274,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,Yes.,yes,True,True,No,no,False,False,No.,no,False,False
