question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11947,103,What is the main organ in the image?,Lung,lung,open,text_match,Organ,unknown,unknown,unknown,unknown,Lung,lung,True,True,No,no,False,False,Heart,heart,False,False,Heart,heart,False,False,No,no,False,False
11957,105,What is the main organ in the image?,Lung,lung,open,text_match,Organ,unknown,unknown,unknown,unknown,Lung,lung,True,True,No,no,False,False,Lung,lung,True,True,Lungs,lungs,False,True,No,no,False,False
11958,105,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Skin,skin,False,False,Lungs,lungs,False,True,Lungs,lungs,False,True,Skin,skin,False,False
11978,13,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No.,no,True,True,No,no,True,True,No.,no,True,True,Yes.,yes,False,False,No.,no,True,True
11987,135,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,CT,ct,False,False,MRI,mri,False,False
11993,135,"Which organ is abnormal, heart or lung?",Heart,heart,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Heart,heart,True,True,Heart,heart,True,True,Lung,lung,False,False,Lung,lung,False,False,Lung,lung,False,False
12002,147,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Thorax,thorax,False,False,Head,head,False,False
12003,147,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True
12006,147,Where is/are the abnormality located?,Right Lung,right lung,open,text_match,Position,unknown,unknown,unknown,unknown,Right lung,right lung,True,True,Left lung,left lung,False,False,Right lung,right lung,True,True,Right shoulder,right shoulder,False,False,Left lung,left lung,False,False
12016,152,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,CT,ct,False,False,MRI,mri,False,False
12018,152,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True
12031,160,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,CT,ct,False,False,MRI,mri,False,False
12047,173,What modality is used to take this image?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,X-ray,xray,True,True,MRI,mri,False,False,X-ray,xray,True,True,CT,ct,False,False,MRI,mri,False,False
12048,173,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Head,head,False,False,Eye,eye,False,False
12049,173,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lung,lung,True,True,Skin,skin,False,False,Lung,lung,True,True,Liver,liver,False,False,Skin,skin,False,False
12062,18,Does the picture contain spleen?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True,No.,no,False,False,Yes.,yes,True,True
12067,185,Which part of the body does this image belong to?,Chest,chest,open,text_match,Position,unknown,unknown,unknown,unknown,Chest,chest,True,True,Head,head,False,False,Chest,chest,True,True,Torso,torso,False,False,Head,head,False,False
12077,208,What is the largest organ in the picture?,Liver,liver,open,text_match,Size,unknown,unknown,unknown,unknown,Liver,liver,True,True,Skin,skin,False,False,Liver,liver,True,True,Kidney,kidney,False,False,Skin,skin,False,False
12088,208,What is the organ on the left side of this image?,Liver,liver,open,text_match,Organ,unknown,unknown,unknown,unknown,Liver,liver,True,True,Kidney,kidney,False,False,Kidney,kidney,False,False,Kidney,kidney,False,False,Kidney,kidney,False,False
