condition,group,name,num_samples,accuracy_strict,accuracy_relaxed
original,overall,overall,1061.0,0.470311027332705,0.5409990574929312
original,answer_type,open,645.0,0.2930232558139535,0.4077519379844961
original,answer_type,closed,416.0,0.7451923076923077,0.7475961538461539
original,eval_mode,text_match,706.0,0.3130311614730878,0.4192634560906516
original,eval_mode,yes_no,355.0,0.7830985915492957,0.7830985915492957
original,q_type,Organ,253.0,0.5810276679841897,0.6324110671936759
original,q_type,Position,186.0,0.3602150537634409,0.43548387096774194
original,q_type,Abnormality,150.0,0.52,0.5866666666666667
original,q_type,KG,148.0,0.25,0.33783783783783783
original,q_type,Modality,108.0,0.7870370370370371,0.8703703703703703
original,q_type,Size,65.0,0.6,0.8
original,q_type,Plane,58.0,0.43103448275862066,0.4827586206896552
original,q_type,Quantity,52.0,0.0,0.0
original,q_type,Color,34.0,0.5882352941176471,0.5882352941176471
original,q_type,Shape,7.0,0.14285714285714285,0.14285714285714285
original,content_type,unknown,1061.0,0.470311027332705,0.5409990574929312
original,modality,unknown,1061.0,0.470311027332705,0.5409990574929312
original,location,unknown,1061.0,0.470311027332705,0.5409990574929312
original,base_type,unknown,1061.0,0.470311027332705,0.5409990574929312
black,overall,overall,1061.0,0.236569274269557,0.2695570216776626
black,answer_type,open,645.0,0.07596899224806201,0.13023255813953488
black,answer_type,closed,416.0,0.4855769230769231,0.4855769230769231
black,eval_mode,text_match,706.0,0.09631728045325778,0.14589235127478753
black,eval_mode,yes_no,355.0,0.5154929577464789,0.5154929577464789
black,q_type,Organ,253.0,0.3201581027667984,0.3241106719367589
black,q_type,Position,186.0,0.05913978494623656,0.10752688172043011
black,q_type,Abnormality,150.0,0.36,0.42
black,q_type,KG,148.0,0.22972972972972974,0.3310810810810811
black,q_type,Modality,108.0,0.2962962962962963,0.2962962962962963
black,q_type,Size,65.0,0.09230769230769231,0.09230769230769231
black,q_type,Plane,58.0,0.29310344827586204,0.3103448275862069
black,q_type,Quantity,52.0,0.11538461538461539,0.11538461538461539
