group,name,num_samples,accuracy
overall,overall,1061,0.24882186616399624
answer_type,closed,416,0.5408653846153846
answer_type,open,645,0.06046511627906977
q_type,Abnormality,150,0.4666666666666667
q_type,Color,34,0.11764705882352941
q_type,KG,148,0.20270270270270271
q_type,Modality,108,0.2777777777777778
q_type,Organ,253,0.31225296442687744
q_type,Plane,58,0.29310344827586204
q_type,Position,186,0.08064516129032258
q_type,Quantity,52,0.1346153846153846
q_type,Shape,7,0.2857142857142857
q_type,Size,65,0.15384615384615385
