question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11948,103,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Liver,liver,False,False,Lung,lung,True,True,Skin,skin,False,False
11949,103,Does the picture contain liver?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
11973,13,Which part of the body does this image belong to?,Abdomen,abdomen,open,text_match,Position,unknown,unknown,unknown,unknown,Liver,liver,False,False,Head,head,False,False,Liver,liver,False,False,Abdomen,abdomen,True,True,Head,head,False,False
11979,13,Does the picture contain spleen?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No.,no,False,False,No,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No.,no,False,False
11983,130,What is the largest organ in the picture?,Lung,lung,open,text_match,Size,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Skin,skin,False,False,Lungs,lungs,False,True,Lung,lung,True,True,Skin,skin,False,False
12074,185,"Which organ is abnormal, heart or lung?",Lung,lung,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Heart,heart,False,False,Heart,heart,False,False,Lung,lung,True,True,Lung,lung,True,True,Lung,lung,True,True
12080,208,Does the picture contain spleen?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12091,219,Which part of the body does this image belong to?,Abdomen,abdomen,open,text_match,Position,unknown,unknown,unknown,unknown,Thorax,thorax,False,False,Head,head,False,False,Thorax,thorax,False,False,Abdomen,abdomen,True,True,Head,head,False,False
12101,219,Is the liver healthy?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No.,no,False,False,No.,no,False,False,No.,no,False,False,Yes.,yes,True,True,No.,no,False,False
12113,224,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12242,269,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12256,274,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12288,304,Can atelectasis be observed on the upper right lung in this picture?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False
12341,320,Do the organs in the image exist in the abdomen?,No,no,closed,yes_no,Position,unknown,unknown,unknown,unknown,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True
12363,329,Can pulmonary infiltration be observed on the upper right lung in this picture?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False
12416,357,Do the organs in the image exist in the abdomen?,No,no,closed,yes_no,Position,unknown,unknown,unknown,unknown,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True
12434,361,What is the main organ in the image?,Lung,lung,open,text_match,Organ,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,No,no,False,False,Lungs,lungs,False,True,Lung,lung,True,True,No,no,False,False
12474,375,How was this image taken?,X-Ray,xray,open,text_match,Modality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,False,False,Yes.,yes,False,False,X-ray,xray,True,True,MRI,mri,False,False
12608,429,What is the shape of trachea about this patient?,Irregular,irregular,open,text_match,Shape,unknown,unknown,unknown,unknown,Oval,oval,False,False,The trachea in the image appears to be normal and cylindrical in shape.,the trachea in the image appears to be normal and cylindrical in shape,False,False,Oval,oval,False,False,Irregular,irregular,True,True,Irregular,irregular,True,True
12635,447,"Which hemisphere is abnormal,left or right?",Left,left,closed,text_match,Position,unknown,unknown,unknown,unknown,Right,right,False,False,Left,left,True,True,Left,left,True,True,Left,left,True,True,Left,left,True,True
12662,471,Is this a coronal section?,No,no,closed,yes_no,Plane,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True
12679,474,Is this a coronal section?,No,no,closed,yes_no,Plane,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True
12710,495,How much damage will be caused to the body taking such an image?,,none,open,text_match,KG,unknown,unknown,unknown,unknown,No,no,False,True,No,no,False,True,No,no,False,True,,none,True,True,No,no,False,True
12721,506,"Which kind of weighting is this image generated with, t1 or t2?",T1,t1,closed,text_match,Modality,unknown,unknown,unknown,unknown,T2,t2,False,False,T1,t1,True,True,T1,t1,True,True,T1,t1,True,True,T1,t1,True,True
12771,53,Does the brain look abnormal?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True,Yes.,yes,False,False
12818,554,How many existing heart in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,One,one,False,False,0,0,True,True,One,one,False,False,0,0,True,True,0,0,True,True
12820,554,Are there some organs controlling heartbeat and breathing in this image?,No,no,closed,yes_no,KG,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12831,557,Which organs/organ is part of the nervous system in this image?,Spinal cord,spinal cord,open,text_match,KG,unknown,unknown,unknown,unknown,No,no,False,False,Brain,brain,False,False,Spinal cord,spinal cord,True,True,Spinal cord,spinal cord,True,True,Brain,brain,False,False
12977,85,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No,no,True,True
12991,93,What is the main organ in the image?,Spinal Cord,spinal cord,open,text_match,Organ,unknown,unknown,unknown,unknown,Kidney,kidney,False,False,No,no,False,False,Thyroid gland,thyroid gland,False,False,Spinal cord,spinal cord,True,True,No,no,False,False
