group,name,num_samples,accuracy_strict,accuracy_relaxed
overall,overall,1061,0.470311027332705,0.5409990574929312
answer_type,closed,416,0.7451923076923077,0.7475961538461539
answer_type,open,645,0.2930232558139535,0.4077519379844961
eval_mode,text_match,706,0.3130311614730878,0.4192634560906516
eval_mode,yes_no,355,0.7830985915492957,0.7830985915492957
q_type,Abnormality,150,0.52,0.5866666666666667
q_type,Color,34,0.5882352941176471,0.5882352941176471
q_type,KG,148,0.25,0.33783783783783783
q_type,Modality,108,0.7870370370370371,0.8703703703703703
q_type,Organ,253,0.5810276679841897,0.6324110671936759
q_type,Plane,58,0.43103448275862066,0.4827586206896552
q_type,Position,186,0.3602150537634409,0.43548387096774194
q_type,Quantity,52,0.0,0.0
q_type,Shape,7,0.14285714285714285,0.14285714285714285
q_type,Size,65,0.6,0.8
content_type,unknown,1061,0.470311027332705,0.5409990574929312
modality,unknown,1061,0.470311027332705,0.5409990574929312
location,unknown,1061,0.470311027332705,0.5409990574929312
base_type,unknown,1061,0.470311027332705,0.5409990574929312
