name,num_samples,accuracy_strict,accuracy_relaxed,condition,group
open,645,0.2930232558139535,0.4077519379844961,original,answer_type
closed,416,0.7451923076923077,0.7475961538461539,original,answer_type
text_match,706,0.3130311614730878,0.4192634560906516,original,eval_mode
yes_no,355,0.7830985915492957,0.7830985915492957,original,eval_mode
unknown,1061,0.470311027332705,0.5409990574929312,original,content_type
unknown,1061,0.470311027332705,0.5409990574929312,original,modality
unknown,1061,0.470311027332705,0.5409990574929312,original,location
unknown,1061,0.470311027332705,0.5409990574929312,original,base_type
open,645,0.07596899224806201,0.13023255813953488,black,answer_type
closed,416,0.4855769230769231,0.4855769230769231,black,answer_type
text_match,706,0.09631728045325778,0.14589235127478753,black,eval_mode
yes_no,355,0.5154929577464789,0.5154929577464789,black,eval_mode
unknown,1061,0.236569274269557,0.2695570216776626,black,content_type
unknown,1061,0.236569274269557,0.2695570216776626,black,modality
unknown,1061,0.236569274269557,0.2695570216776626,black,location
unknown,1061,0.236569274269557,0.2695570216776626,black,base_type
open,645,0.27906976744186046,0.39689922480620154,lpf,answer_type
closed,416,0.7451923076923077,0.75,lpf,answer_type
text_match,706,0.29745042492917845,0.40793201133144474,lpf,eval_mode
yes_no,355,0.7887323943661971,0.7887323943661971,lpf,eval_mode
unknown,1061,0.46182846371347785,0.5353440150801131,lpf,content_type
unknown,1061,0.46182846371347785,0.5353440150801131,lpf,modality
unknown,1061,0.46182846371347785,0.5353440150801131,lpf,location
unknown,1061,0.46182846371347785,0.5353440150801131,lpf,base_type
open,645,0.24496124031007752,0.35658914728682173,hpf,answer_type
closed,416,0.7019230769230769,0.7043269230769231,hpf,answer_type
text_match,706,0.26912181303116145,0.37252124645892354,hpf,eval_mode
yes_no,355,0.7323943661971831,0.7323943661971831,hpf,eval_mode
unknown,1061,0.42412818096135724,0.49293119698397736,hpf,content_type
unknown,1061,0.42412818096135724,0.49293119698397736,hpf,modality
unknown,1061,0.42412818096135724,0.49293119698397736,hpf,location
unknown,1061,0.42412818096135724,0.49293119698397736,hpf,base_type
open,645,0.06046511627906977,0.12868217054263567,patch_shuffle,answer_type
closed,416,0.5408653846153846,0.5408653846153846,patch_shuffle,answer_type
text_match,706,0.08923512747875353,0.15155807365439095,patch_shuffle,eval_mode
yes_no,355,0.5661971830985916,0.5661971830985916,patch_shuffle,eval_mode
unknown,1061,0.24882186616399624,0.29029217719132894,patch_shuffle,content_type
unknown,1061,0.24882186616399624,0.29029217719132894,patch_shuffle,modality
unknown,1061,0.24882186616399624,0.29029217719132894,patch_shuffle,location
unknown,1061,0.24882186616399624,0.29029217719132894,patch_shuffle,base_type
