group,name,num_samples,accuracy_strict,accuracy_relaxed
overall,overall,1061,0.24882186616399624,0.29029217719132894
answer_type,closed,416,0.5408653846153846,0.5408653846153846
answer_type,open,645,0.06046511627906977,0.12868217054263567
eval_mode,text_match,706,0.08923512747875353,0.15155807365439095
eval_mode,yes_no,355,0.5661971830985916,0.5661971830985916
q_type,Abnormality,150,0.4666666666666667,0.54
q_type,Color,34,0.11764705882352941,0.11764705882352941
q_type,KG,148,0.20270270270270271,0.2905405405405405
q_type,Modality,108,0.2777777777777778,0.37037037037037035
q_type,Organ,253,0.31225296442687744,0.33201581027667987
q_type,Plane,58,0.29310344827586204,0.29310344827586204
q_type,Position,186,0.08064516129032258,0.10752688172043011
q_type,Quantity,52,0.1346153846153846,0.1346153846153846
q_type,Shape,7,0.2857142857142857,0.2857142857142857
q_type,Size,65,0.15384615384615385,0.15384615384615385
content_type,unknown,1061,0.24882186616399624,0.29029217719132894
modality,unknown,1061,0.24882186616399624,0.29029217719132894
location,unknown,1061,0.24882186616399624,0.29029217719132894
base_type,unknown,1061,0.24882186616399624,0.29029217719132894
