question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11949,103,Does the picture contain liver?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
11975,13,Is there any abnormality in the spleen?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No.,no,True,True,Yes.,yes,False,False,No,no,True,True
12011,148,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,No,no,False,False,No,no,False,False,Yes.,yes,True,True
12074,185,"Which organ is abnormal, heart or lung?",Lung,lung,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Heart,heart,False,False,Heart,heart,False,False,Lung,lung,True,True,Lung,lung,True,True,Lung,lung,True,True
12080,208,Does the picture contain spleen?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12113,224,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12115,224,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12124,234,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12129,234,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12148,235,Does the picture contain lung?,Yes,yes,closed,yes_no,Organ,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,No,no,False,False,No,no,False,False,Yes.,yes,True,True
12159,24,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12182,250,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12213,253,Does the picture contain spleen?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12242,269,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12253,274,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12256,274,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12257,274,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12302,311,Is the lung abnormal?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,Yes.,yes,True,True,No,no,False,False,Yes.,yes,True,True
12341,320,Do the organs in the image exist in the abdomen?,No,no,closed,yes_no,Position,unknown,unknown,unknown,unknown,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True
12416,357,Do the organs in the image exist in the abdomen?,No,no,closed,yes_no,Position,unknown,unknown,unknown,unknown,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True
12466,374,Does the lung look abnormal?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No,no,False,False,Yes.,yes,True,True,No,no,False,False,No,no,False,False,Yes.,yes,True,True
12467,374,Are there abnormalities in this image?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No,no,False,False,No,no,False,False,No,no,False,False,No,no,False,False,Yes.,yes,True,True
12473,374,Which organs/organ is part of the respiratory system in this image?,Lung,lung,open,text_match,KG,unknown,unknown,unknown,unknown,Lungs,lungs,False,True,Lungs,lungs,False,True,Lungs,lungs,False,True,Lungs,lungs,False,True,Lung,lung,True,True
12544,401,How many ears are shown in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,Two,two,False,False,Two,two,False,False,Two,two,False,False,0,0,True,True
12583,427,Does the trachea exist in this picture?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True
12596,428,What is the shape of trachea about this patient?,Irregular,irregular,open,text_match,Shape,unknown,unknown,unknown,unknown,Oval,oval,False,False,The trachea in the image appears to be normal and cylindrical in shape.,the trachea in the image appears to be normal and cylindrical in shape,False,False,Oval,oval,False,False,Oval,oval,False,False,Irregular,irregular,True,True
12608,429,What is the shape of trachea about this patient?,Irregular,irregular,open,text_match,Shape,unknown,unknown,unknown,unknown,Oval,oval,False,False,The trachea in the image appears to be normal and cylindrical in shape.,the trachea in the image appears to be normal and cylindrical in shape,False,False,Oval,oval,False,False,Irregular,irregular,True,True,Irregular,irregular,True,True
12634,447,Where does the picture show?,Head,head,open,text_match,Position,unknown,unknown,unknown,unknown,Brain,brain,False,False,No,no,False,False,Brain,brain,False,False,Brain,brain,False,False,Head,head,True,True
12635,447,"Which hemisphere is abnormal,left or right?",Left,left,closed,text_match,Position,unknown,unknown,unknown,unknown,Right,right,False,False,Left,left,True,True,Left,left,True,True,Left,left,True,True,Left,left,True,True
12638,447,Is the tumor enhancing?,Yes,yes,closed,yes_no,Color,unknown,unknown,unknown,unknown,No.,no,False,False,Yes.,yes,True,True,No.,no,False,False,No.,no,False,False,Yes.,yes,True,True
12647,468,Is the brain abnormal?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No.,no,False,False,Yes.,yes,True,True,Yes.,yes,True,True,No.,no,False,False,Yes.,yes,True,True
12657,469,Is the abnormality hyperdense or hypodense?,Hyperdense,hyperdense,closed,text_match,Color,unknown,unknown,unknown,unknown,Hypodense,hypodense,False,False,Hyperdense,hyperdense,True,True,Hypodense,hypodense,False,False,Hypodense,hypodense,False,False,Hyperdense,hyperdense,True,True
12662,471,Is this a coronal section?,No,no,closed,yes_no,Plane,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True
12663,471,Which part of the body does this image belong to?,Head,head,open,text_match,Position,unknown,unknown,unknown,unknown,Brain,brain,False,False,Head,head,True,True,Brain,brain,False,False,Brain,brain,False,False,Head,head,True,True
12671,473,Which part of the body does this image belong to?,Head,head,open,text_match,Position,unknown,unknown,unknown,unknown,Brain,brain,False,False,Head,head,True,True,Brain,brain,False,False,Brain,brain,False,False,Head,head,True,True
12675,473,Is the abnormality hyperdense or hypodense?,Hyperdense,hyperdense,closed,text_match,Color,unknown,unknown,unknown,unknown,Hypodense,hypodense,False,False,Hyperdense,hyperdense,True,True,Hypodense,hypodense,False,False,Hypodense,hypodense,False,False,Hyperdense,hyperdense,True,True
12679,474,Is this a coronal section?,No,no,closed,yes_no,Plane,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,No.,no,True,True,No.,no,True,True,No.,no,True,True
12688,483,Where does the image represent in the body?,Head,head,open,text_match,Position,unknown,unknown,unknown,unknown,Brain,brain,False,False,Brain,brain,False,False,Brain,brain,False,False,Brain,brain,False,False,Head,head,True,True
12704,495,Is this a coronal plane?,No,no,closed,yes_no,Plane,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,No.,no,True,True,Yes.,yes,False,False,No.,no,True,True
12705,495,Which part of the body does this image belong to?,Head,head,open,text_match,Position,unknown,unknown,unknown,unknown,Brain,brain,False,False,Head,head,True,True,Brain,brain,False,False,Brain,brain,False,False,Head,head,True,True
12721,506,"Which kind of weighting is this image generated with, t1 or t2?",T1,t1,closed,text_match,Modality,unknown,unknown,unknown,unknown,T2,t2,False,False,T1,t1,True,True,T1,t1,True,True,T1,t1,True,True,T1,t1,True,True
12738,513,Is this an MRI image with T2 weighted?,No,no,closed,yes_no,Modality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,No.,no,True,True,Yes.,yes,False,False,No.,no,True,True
12783,538,Does the stomach appear in the image?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,Yes.,yes,False,False,No.,no,True,True
12797,543,Does the picture contain bladder?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True
12808,548,How many existing heart in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,One,one,False,False,0,0,True,True,One,one,False,False,One,one,False,False,0,0,True,True
12818,554,How many existing heart in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,One,one,False,False,0,0,True,True,One,one,False,False,0,0,True,True,0,0,True,True
12820,554,Are there some organs controlling heartbeat and breathing in this image?,No,no,closed,yes_no,KG,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No.,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12862,578,Does the stomach appear in the image?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12867,578,Are there organs in the picture that can digest food?,No,no,closed,yes_no,KG,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12878,580,"Where is the heart in this image,left,top or upper left?",Top,top,closed,text_match,Position,unknown,unknown,unknown,unknown,Upper left,upper left,False,False,Top,top,True,True,Upper left,upper left,False,False,Upper left,upper left,False,False,Top,top,True,True
12881,580,Does the picture contain stomach?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12892,586,What color is the lung in this image?,Black,black,open,text_match,Color,unknown,unknown,unknown,unknown,White,white,False,False,"The lung in the image appears to be white, which is typical for a CT",the lung in the image appears to be white which is typical for a ct,False,False,Black,black,True,True,Gray,gray,False,False,Black,black,True,True
12925,622,Are there organs in the picture that can deliver food?,No,no,closed,yes_no,KG,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12928,628,Does the rectum exist in this picture?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No,no,True,True
12977,85,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No,no,True,True
