group,name,num_samples,accuracy_strict,accuracy_relaxed
overall,overall,1061,0.46182846371347785,0.5353440150801131
answer_type,closed,416,0.7451923076923077,0.75
answer_type,open,645,0.27906976744186046,0.39689922480620154
eval_mode,text_match,706,0.29745042492917845,0.40793201133144474
eval_mode,yes_no,355,0.7887323943661971,0.7887323943661971
q_type,Abnormality,150,0.5066666666666667,0.58
q_type,Color,34,0.5294117647058824,0.5294117647058824
q_type,KG,148,0.23648648648648649,0.32432432432432434
q_type,Modality,108,0.75,0.8333333333333334
q_type,Organ,253,0.5731225296442688,0.616600790513834
q_type,Plane,58,0.4827586206896552,0.5517241379310345
q_type,Position,186,0.3709677419354839,0.45698924731182794
q_type,Quantity,52,0.0,0.0
q_type,Shape,7,0.2857142857142857,0.2857142857142857
q_type,Size,65,0.5538461538461539,0.7692307692307693
content_type,unknown,1061,0.46182846371347785,0.5353440150801131
modality,unknown,1061,0.46182846371347785,0.5353440150801131
location,unknown,1061,0.46182846371347785,0.5353440150801131
base_type,unknown,1061,0.46182846371347785,0.5353440150801131
