condition,group,name,num_samples,accuracy,accuracy_exact,accuracy_substring
original,overall,overall,1061,0.470311027332705,,
original,answer_type,closed,416,0.7451923076923077,,
original,answer_type,open,645,0.2930232558139535,,
original,q_type,Abnormality,150,0.52,,
original,q_type,Color,34,0.5882352941176471,,
original,q_type,KG,148,0.25,,
original,q_type,Modality,108,0.7870370370370371,,
original,q_type,Organ,253,0.5810276679841897,,
original,q_type,Plane,58,0.43103448275862066,,
original,q_type,Position,186,0.3602150537634409,,
original,q_type,Quantity,52,0.0,,
original,q_type,Shape,7,0.14285714285714285,,
original,q_type,Size,65,0.6,,
black,overall,overall,1061,0.236569274269557,,
black,answer_type,closed,416,0.4855769230769231,,
black,answer_type,open,645,0.07596899224806201,,
black,q_type,Abnormality,150,0.36,,
black,q_type,Color,34,0.29411764705882354,,
black,q_type,KG,148,0.22972972972972974,,
black,q_type,Modality,108,0.2962962962962963,,
black,q_type,Organ,253,0.3201581027667984,,
black,q_type,Plane,58,0.29310344827586204,,
black,q_type,Position,186,0.05913978494623656,,
black,q_type,Quantity,52,0.11538461538461539,,
black,q_type,Shape,7,0.0,,
black,q_type,Size,65,0.09230769230769231,,
lpf,overall,overall,1061,0.46182846371347785,,
lpf,answer_type,closed,416,0.7451923076923077,,
lpf,answer_type,open,645,0.27906976744186046,,
lpf,q_type,Abnormality,150,0.5066666666666667,,
lpf,q_type,Color,34,0.5294117647058824,,
lpf,q_type,KG,148,0.23648648648648649,,
lpf,q_type,Modality,108,0.75,,
lpf,q_type,Organ,253,0.5731225296442688,,
lpf,q_type,Plane,58,0.4827586206896552,,
lpf,q_type,Position,186,0.3709677419354839,,
lpf,q_type,Quantity,52,0.0,,
lpf,q_type,Shape,7,0.2857142857142857,,
lpf,q_type,Size,65,0.5538461538461539,,
hpf,overall,overall,1061,0.42412818096135724,,
hpf,answer_type,closed,416,0.7019230769230769,,
hpf,answer_type,open,645,0.24496124031007752,,
hpf,q_type,Abnormality,150,0.46,,
hpf,q_type,Color,34,0.17647058823529413,,
hpf,q_type,KG,148,0.25675675675675674,,
hpf,q_type,Modality,108,0.7037037037037037,,
hpf,q_type,Organ,253,0.525691699604743,,
hpf,q_type,Plane,58,0.46551724137931033,,
hpf,q_type,Position,186,0.3333333333333333,,
hpf,q_type,Quantity,52,0.019230769230769232,,
hpf,q_type,Shape,7,0.2857142857142857,,
hpf,q_type,Size,65,0.5538461538461539,,
patch_shuffle,overall,overall,1061,0.24882186616399624,,
patch_shuffle,answer_type,closed,416,0.5408653846153846,,
patch_shuffle,answer_type,open,645,0.06046511627906977,,
patch_shuffle,q_type,Abnormality,150,0.4666666666666667,,
patch_shuffle,q_type,Color,34,0.11764705882352941,,
patch_shuffle,q_type,KG,148,0.20270270270270271,,
patch_shuffle,q_type,Modality,108,0.2777777777777778,,
patch_shuffle,q_type,Organ,253,0.31225296442687744,,
patch_shuffle,q_type,Plane,58,0.29310344827586204,,
patch_shuffle,q_type,Position,186,0.08064516129032258,,
patch_shuffle,q_type,Quantity,52,0.1346153846153846,,
patch_shuffle,q_type,Shape,7,0.2857142857142857,,
patch_shuffle,q_type,Size,65,0.15384615384615385,,
