group,name,num_samples,accuracy_strict,accuracy_relaxed
overall,overall,1061,0.236569274269557,0.2695570216776626
answer_type,closed,416,0.4855769230769231,0.4855769230769231
answer_type,open,645,0.07596899224806201,0.13023255813953488
eval_mode,text_match,706,0.09631728045325778,0.14589235127478753
eval_mode,yes_no,355,0.5154929577464789,0.5154929577464789
q_type,Abnormality,150,0.36,0.42
q_type,Color,34,0.29411764705882354,0.29411764705882354
q_type,KG,148,0.22972972972972974,0.3310810810810811
q_type,Modality,108,0.2962962962962963,0.2962962962962963
q_type,Organ,253,0.3201581027667984,0.3241106719367589
q_type,Plane,58,0.29310344827586204,0.3103448275862069
q_type,Position,186,0.05913978494623656,0.10752688172043011
q_type,Quantity,52,0.11538461538461539,0.11538461538461539
q_type,Shape,7,0.0,0.0
q_type,Size,65,0.09230769230769231,0.09230769230769231
content_type,unknown,1061,0.236569274269557,0.2695570216776626
modality,unknown,1061,0.236569274269557,0.2695570216776626
location,unknown,1061,0.236569274269557,0.2695570216776626
base_type,unknown,1061,0.236569274269557,0.2695570216776626
