question_id,image_id,question,gt_answer,gt_answer_normalized,answer_type,eval_mode,q_type,content_type,modality,location,base_type,pred_answer__original,pred_answer_normalized__original,is_correct_strict__original,is_correct_relaxed__original,pred_answer__black,pred_answer_normalized__black,is_correct_strict__black,is_correct_relaxed__black,pred_answer__lpf,pred_answer_normalized__lpf,is_correct_strict__lpf,is_correct_relaxed__lpf,pred_answer__hpf,pred_answer_normalized__hpf,is_correct_strict__hpf,is_correct_relaxed__hpf,pred_answer__patch_shuffle,pred_answer_normalized__patch_shuffle,is_correct_strict__patch_shuffle,is_correct_relaxed__patch_shuffle
11949,103,Does the picture contain liver?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
11971,124,"Which organ is abnormal, heart or lung?",Heart,heart,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Lung,lung,False,False,Heart,heart,True,True,Lung,lung,False,False,Lung,lung,False,False,Lung,lung,False,False
11975,13,Is there any abnormality in the spleen?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No.,no,True,True,Yes.,yes,False,False,No,no,True,True
12000,142,"Which organ is abnormal, heart or lung?",Heart,heart,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Lung,lung,False,False,Heart,heart,True,True,Lung,lung,False,False,Lung,lung,False,False,Lung,lung,False,False
12015,148,"Which organ is abnormal, heart or lung?",Heart,heart,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Lung,lung,False,False,Heart,heart,True,True,Lung,lung,False,False,Lung,lung,False,False,Lung,lung,False,False
12022,152,"Which organ is abnormal, heart or lung?",Heart,heart,closed,text_match,Abnormality,unknown,unknown,unknown,unknown,Lung,lung,False,False,Heart,heart,True,True,Lung,lung,False,False,Lung,lung,False,False,Lung,lung,False,False
12080,208,Does the picture contain spleen?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12113,224,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,No,no,True,True,No,no,True,True,No.,no,True,True
12115,224,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12124,234,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12129,234,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12156,24,What is the mr weighting in this image?,T1,t1,open,text_match,Modality,unknown,unknown,unknown,unknown,T2-weighted,t2weighted,False,False,T1,t1,True,True,T2-weighted,t2weighted,False,False,T2-weighted,t2weighted,False,False,T1-weighted,t1weighted,False,True
12159,24,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12163,25,What is the mr weighting in this image?,T1,t1,open,text_match,Modality,unknown,unknown,unknown,unknown,T2-weighted,t2weighted,False,False,T1,t1,True,True,T1-weighted,t1weighted,False,True,T1-weighted,t1weighted,False,True,T1-weighted,t1weighted,False,True
12182,250,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12213,253,Does the picture contain spleen?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12224,264,Does the picture contain liver?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,Yes.,yes,False,False
12242,269,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12253,274,Does the picture contain kidney?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,No.,no,True,True
12256,274,Does the picture contain heart?,No,no,closed,yes_no,Organ,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,No.,no,True,True
12257,274,How many kidneys in this image?,0,0,open,text_match,Quantity,unknown,unknown,unknown,unknown,Two,two,False,False,0,0,True,True,Two,two,False,False,Two,two,False,False,0,0,True,True
12274,299,What color does the left lung show in the picture?,Black,black,open,text_match,Color,unknown,unknown,unknown,unknown,Gray,gray,False,False,Black,black,True,True,Gray,gray,False,False,Gray,gray,False,False,Gray,gray,False,False
12288,304,Can atelectasis be observed on the upper right lung in this picture?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False
12438,361,Can nodule be observed on the lower right lung in this picture?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,Yes.,yes,False,False
12453,367,Can pneumonia be observed on the upper right lung in this picture?,No,no,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,Yes.,yes,False,False,No,no,True,True,Yes.,yes,False,False,Yes.,yes,False,False,Yes.,yes,False,False
12466,374,Does the lung look abnormal?,Yes,yes,closed,yes_no,Abnormality,unknown,unknown,unknown,unknown,No,no,False,False,Yes.,yes,True,True,No,no,False,False,No,no,False,False,Yes.,yes,True,True
