group,name,num_samples,accuracy_strict,accuracy_relaxed
overall,overall,1061,0.42412818096135724,0.49293119698397736
answer_type,closed,416,0.7019230769230769,0.7043269230769231
answer_type,open,645,0.24496124031007752,0.35658914728682173
eval_mode,text_match,706,0.26912181303116145,0.37252124645892354
eval_mode,yes_no,355,0.7323943661971831,0.7323943661971831
q_type,Abnormality,150,0.46,0.5333333333333333
q_type,Color,34,0.17647058823529413,0.17647058823529413
q_type,KG,148,0.25675675675675674,0.33783783783783783
q_type,Modality,108,0.7037037037037037,0.7870370370370371
q_type,Organ,253,0.525691699604743,0.5731225296442688
q_type,Plane,58,0.46551724137931033,0.5517241379310345
q_type,Position,186,0.3333333333333333,0.3924731182795699
q_type,Quantity,52,0.019230769230769232,0.019230769230769232
q_type,Shape,7,0.2857142857142857,0.2857142857142857
q_type,Size,65,0.5538461538461539,0.7538461538461538
content_type,unknown,1061,0.42412818096135724,0.49293119698397736
modality,unknown,1061,0.42412818096135724,0.49293119698397736
location,unknown,1061,0.42412818096135724,0.49293119698397736
base_type,unknown,1061,0.42412818096135724,0.49293119698397736
